KÛd obce;N·zev obce;Registrovani voliËi;VydanÈ ob·lky;PlatnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
529303;Beneöov;13104;8476;8437;1052;10;2;624;3;802;597;109;35;112;6;11;948;3;6;414;2577;3;21;314;5;58;17;16;682;10
532568;Bernartice;191;148;148;4;0;0;17;0;6;7;1;4;0;0;0;7;0;0;3;39;0;0;37;0;3;0;0;20;0
530743;BÌlkovice;170;121;118;7;0;0;15;0;8;18;0;2;0;0;0;3;0;0;2;47;1;0;6;0;0;0;0;9;0
532380;Blaûejovice;96;80;77;6;0;0;5;0;3;11;0;0;3;0;0;5;1;0;0;29;0;0;6;0;0;0;0;8;0
532096;Borovnice;73;54;53;2;0;0;2;0;4;4;1;0;1;0;0;3;0;0;1;29;0;0;5;0;0;0;0;1;0
532924;Bukovany;598;393;393;50;0;0;20;0;53;20;8;0;6;0;0;49;0;1;11;127;0;4;8;0;1;1;4;30;0
529451;Byst¯ice;3490;2205;2200;204;6;2;187;0;158;136;25;12;11;1;1;223;3;1;96;826;1;1;72;0;9;5;4;211;5
532690;Ctibo¯;106;83;83;3;0;0;5;0;4;4;2;0;1;0;0;11;0;0;2;35;0;0;11;0;0;0;0;5;0
529478;»akov;93;71;71;7;0;0;6;0;8;3;0;0;2;0;0;6;0;0;8;15;0;0;6;0;0;0;0;10;0
529486;»echtice;1140;750;744;70;1;1;54;2;50;75;5;6;15;0;0;58;1;0;35;226;0;3;81;1;8;2;2;44;4
529516;»erËany;2195;1451;1443;200;1;0;97;1;126;66;22;11;15;0;1;191;0;1;107;424;1;9;52;1;12;3;1;98;3
529532;»erven˝ ⁄jezd;258;187;187;13;0;0;5;0;13;15;3;2;3;0;2;23;0;0;3;53;0;0;30;0;4;0;0;18;0
529541;»esk˝ äternberk;129;82;82;9;0;0;3;0;6;3;1;0;1;0;0;6;0;0;8;25;0;0;3;0;0;0;0;17;0
529567;»ty¯koly;539;403;400;72;0;0;20;1;43;15;1;2;11;2;0;46;0;0;39;91;0;1;11;0;4;0;0;38;3
532746;DÏkanovice;49;40;40;0;0;0;2;0;0;3;0;0;0;0;0;3;0;0;0;13;0;0;11;0;0;0;0;8;0
529621;Diviöov;1305;830;816;52;0;0;60;1;86;78;3;7;14;2;1;76;0;1;39;256;0;2;49;0;4;3;0;79;3
529648;DolnÌ Kralovice;727;445;445;24;0;0;45;0;24;66;8;2;9;0;0;47;0;1;9;150;0;1;30;0;0;2;0;26;1
532151;DrahÚovice;70;58;57;8;0;0;1;0;2;1;1;0;1;0;0;6;0;0;3;18;0;1;5;0;1;0;0;9;0
532843;Dunice;55;38;38;5;0;0;6;0;3;3;0;0;0;0;0;5;0;0;1;10;0;0;4;0;0;0;0;1;0
529702;He¯maniËky;571;374;374;27;1;0;22;0;34;39;4;3;0;0;0;25;0;1;10;143;0;0;14;1;5;0;2;43;0
532932;HradiötÏ;24;19;19;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;10;0;0;2;0;1;0;0;1;0
529737;Hulice;237;173;173;20;0;0;11;0;11;20;1;0;2;0;0;12;0;0;4;70;0;1;6;0;0;1;0;13;1
529745;HvÏzdonice;257;189;189;23;1;0;6;0;13;14;1;4;1;1;0;32;0;0;12;49;0;0;0;0;1;0;0;31;0
532886;Ch·¯ovice;145;114;112;8;1;0;11;0;15;17;0;1;4;0;1;10;0;0;0;37;1;1;0;0;0;0;0;5;0
532878;Chleby;46;33;32;3;0;0;0;0;9;2;1;1;0;0;0;2;0;0;0;10;0;0;1;0;0;0;0;3;0
532045;ChlÌstov;278;177;176;29;0;0;5;0;18;5;5;0;2;0;0;32;0;0;7;62;0;0;3;0;2;0;1;5;0
529770;Chlum;112;87;87;5;0;0;3;0;5;6;0;0;0;0;0;4;0;0;0;51;0;0;6;0;0;0;1;6;0
529788;Chmeln·;112;95;95;4;0;0;8;0;4;0;1;1;0;0;0;11;0;0;4;23;0;0;33;0;0;1;0;5;0
529796;Chocerady;991;663;659;74;1;1;50;0;42;51;9;4;12;0;2;119;1;0;46;171;0;1;12;0;8;2;0;53;0
532606;Choratice;58;34;34;5;0;0;2;0;4;1;0;1;0;0;0;0;0;0;3;10;0;0;6;0;0;0;0;2;0
529818;Chot˝öany;434;294;292;27;0;0;29;0;31;16;1;5;6;1;0;35;0;1;5;91;0;0;7;0;1;1;2;33;0
532037;Chr·öùany;187;123;123;20;0;0;1;0;9;14;1;1;0;1;0;20;0;0;4;40;0;0;9;0;0;0;0;3;0
529842;Jankov;748;430;429;23;0;0;28;1;51;34;3;2;5;0;0;49;0;0;24;145;0;3;20;0;1;2;1;35;2
529851;JavornÌk;104;79;79;3;0;0;11;0;7;5;2;1;0;0;0;9;0;0;0;20;0;0;6;0;2;0;0;13;0
532134;Jeöetice;106;67;67;2;0;0;4;0;6;6;0;0;1;0;0;7;0;1;1;19;0;0;5;0;0;0;0;15;0
531031;Kamberk;121;82;81;17;0;0;5;0;2;1;0;0;2;0;0;9;0;0;6;28;0;0;1;0;2;0;0;8;0
529907;Keblov;155;99;99;10;0;0;10;0;8;10;0;1;1;0;0;6;0;0;2;34;0;1;3;0;2;0;0;11;0
533084;Kladruby;245;182;182;14;0;0;9;0;15;17;1;1;4;0;0;24;0;0;11;47;0;1;19;0;2;0;0;16;1
529931;Kondrac;383;269;267;28;2;0;35;0;29;24;1;6;1;0;1;28;0;0;5;66;0;0;19;0;0;0;0;22;0
529940;Kozmice;241;171;170;21;0;0;12;0;6;13;2;5;2;0;0;19;0;0;11;60;0;1;5;0;0;0;1;11;1
529958;Krhanice;765;505;502;70;1;0;20;0;58;27;7;3;7;0;1;68;1;0;31;139;0;0;19;1;1;1;4;43;0
529974;KrÚany;361;242;241;38;1;0;10;0;12;20;2;0;6;0;1;27;0;0;19;69;0;2;1;0;4;0;1;27;1
529991;K¯eËovice;632;451;448;30;0;1;24;0;47;40;8;5;0;1;0;55;1;0;28;141;0;1;37;0;2;1;2;24;0
530000;K¯ivsoudov;351;222;222;17;0;0;16;0;19;11;4;1;3;0;3;41;0;0;5;66;0;1;18;0;0;0;0;16;1
530026;KuÚovice;66;61;61;5;0;0;3;0;6;3;0;0;0;0;0;3;0;0;2;28;0;0;7;0;0;1;0;3;0
530051;Leöany;567;371;370;37;0;0;13;0;31;39;6;1;13;2;1;40;0;0;13;105;0;0;16;0;4;1;1;44;3
530069;Libeû;156;107;107;5;2;0;10;0;3;15;0;0;2;0;0;3;0;0;0;42;0;0;8;0;1;1;0;15;0
532258;Litichovice;54;39;39;2;0;0;0;0;4;4;1;0;0;0;1;3;0;0;3;10;0;1;6;0;0;0;0;4;0
530093;Loket;456;351;350;24;0;0;31;0;16;28;2;4;6;0;0;46;0;0;19;88;0;0;45;0;1;0;1;39;0
530107;LouÚovice pod BlanÌkem;563;369;365;43;2;0;32;0;25;25;4;1;0;0;0;35;1;0;14;138;0;1;20;0;1;0;0;23;0
532193;LötÏnÌ;331;225;226;32;0;0;11;0;24;20;2;1;6;0;1;30;1;1;28;43;0;0;8;0;1;0;0;16;1
530115;Maröovice;602;421;419;26;0;0;23;0;35;43;11;2;4;0;0;55;0;0;23;131;0;1;24;0;3;0;2;36;0
530158;Mezno;297;203;201;20;0;0;18;0;19;24;0;1;11;0;0;18;0;0;3;57;0;0;9;0;3;2;1;14;1
530166;MiliËÌn;728;449;449;33;0;0;27;0;44;28;6;6;3;0;1;40;1;2;23;176;0;1;21;1;1;0;0;35;0
530174;Mi¯etice;149;102;100;18;0;0;2;0;8;0;0;0;0;0;0;9;0;0;4;34;0;0;7;0;2;1;0;15;0
530191;Mnichovice;184;114;114;8;0;0;9;0;5;16;3;1;0;2;0;10;0;0;0;43;0;0;11;0;0;0;0;6;0
530204;MraË;637;429;429;47;0;0;19;0;56;34;12;4;7;0;0;47;0;1;14;140;1;0;8;0;5;1;1;32;0
530212;NaËeradec;881;512;509;42;1;0;28;1;42;52;2;1;6;1;1;51;0;0;14;182;0;1;34;0;2;2;3;43;0
530263;Nespeky;545;389;388;65;0;0;24;0;26;19;6;1;3;0;0;63;0;1;34;116;0;0;8;0;1;0;1;20;0
530298;Netvo¯ice;899;574;573;64;1;0;42;0;46;60;6;1;10;1;0;60;0;2;23;189;1;1;8;0;0;0;4;53;1
530301;Neustupov;423;264;263;5;0;0;26;0;24;21;3;4;11;0;0;15;2;0;11;98;0;0;9;0;2;1;0;31;0
530310;Neveklov;2080;1237;1218;153;2;0;81;1;76;82;21;8;18;3;3;147;1;2;83;376;1;4;39;1;1;2;6;106;1
530344;Olbramovice;991;664;660;44;0;1;41;0;57;61;9;3;1;0;0;49;4;0;28;285;1;0;20;0;7;2;1;43;3
599395;Ostrov;52;32;30;2;0;0;0;0;3;4;0;0;0;0;1;5;0;0;0;10;0;0;1;0;1;0;0;3;0
530352;Ost¯edek;292;206;205;18;0;0;15;0;18;6;2;8;3;1;0;25;0;1;12;75;0;0;12;0;0;0;0;9;0
533076;Pavlovice;168;121;119;4;2;0;13;0;6;15;2;4;2;0;0;6;0;0;4;37;0;1;10;0;0;0;0;13;0
530409;Petroupim;243;161;161;21;2;0;13;0;22;6;3;2;0;1;0;13;0;0;5;61;0;3;2;0;1;0;0;6;0
532649;Popovice;233;157;155;13;0;0;15;0;10;18;2;1;1;0;0;16;0;1;3;51;0;0;5;0;0;0;0;19;0
530441;Po¯ÌËÌ nad S·zavou;987;670;669;102;0;0;46;0;63;24;7;3;9;0;0;51;0;1;54;211;2;0;20;0;2;2;0;69;3
530450;Postupice;1030;662;653;68;0;0;30;2;70;42;7;3;4;0;0;76;0;2;17;255;0;0;20;0;10;1;2;41;3
530476;PravonÌn;447;290;289;26;0;0;19;0;22;30;2;0;9;0;0;29;0;0;6;95;0;0;11;0;6;0;0;34;0
530492;P¯estavlky u »erËan;296;222;221;39;1;0;13;0;10;10;2;4;1;0;0;24;1;0;15;82;0;0;7;0;0;0;1;10;1
530514;Ps·¯e;113;69;69;10;0;0;5;0;7;7;1;0;1;0;0;7;0;0;3;13;0;0;6;0;0;1;0;8;0
538680;Pyöely;1399;1014;1008;175;0;1;60;0;135;40;16;7;18;1;3;146;1;3;73;223;0;0;27;0;7;0;0;70;2
530522;RabynÏ;235;168;168;38;1;0;9;0;11;11;0;2;1;0;0;19;0;0;9;41;0;0;8;0;0;0;0;15;3
530531;Radoöovice;296;184;183;19;1;0;8;0;20;16;0;2;6;0;0;16;1;0;10;38;0;0;33;0;1;1;0;11;0
530549;Rataje;140;104;104;8;0;0;10;0;10;11;2;2;0;0;0;6;0;0;3;28;0;0;12;0;0;0;0;12;0
532550;RatmÏ¯ice;238;156;155;18;0;0;7;1;35;10;2;0;1;0;0;10;0;0;12;41;0;0;4;0;1;0;3;10;0
538710;ÿehenice;366;252;252;34;0;0;15;0;26;8;2;4;2;0;0;48;1;1;20;69;0;0;4;0;1;0;0;17;0
532941;ÿimovice;180;108;108;7;0;0;5;0;8;10;1;1;1;0;0;18;0;0;6;27;0;0;9;0;0;0;0;15;0
534382;S·zava;3090;1877;1867;216;5;2;203;2;193;155;27;7;22;3;4;180;0;5;78;515;1;4;37;0;7;9;5;182;5
532231;SlovÏnice;31;22;22;3;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;8;0;0;2;0;0;0;0;4;0
530611;Smilkov;231;146;144;3;0;0;15;0;14;17;1;1;0;0;0;8;0;0;1;62;0;0;10;0;0;0;0;12;0
532436;SnÏt;89;64;64;11;0;0;3;0;2;1;0;0;0;0;0;11;0;0;1;21;0;0;8;0;0;0;0;6;0
530638;SobÏhrdy;319;227;225;23;0;0;17;0;24;12;2;1;2;2;0;25;0;0;14;74;0;0;9;0;2;1;1;16;0
599387;Soutice;219;146;146;6;0;0;14;0;11;8;1;1;4;0;0;8;0;0;2;70;0;0;4;0;0;3;0;14;0
599379;Strann˝;82;51;51;6;0;0;7;0;5;6;0;0;0;0;0;4;0;0;5;13;0;0;0;0;1;0;0;3;1
599361;Strojetice;103;77;76;1;0;0;8;0;7;10;1;2;1;0;0;8;0;0;4;23;0;1;3;0;1;0;0;6;0
530689;Struha¯ov;670;461;459;59;1;2;24;0;32;35;7;2;5;0;1;48;0;1;15;180;0;0;10;0;2;0;1;31;3
530701;St¯ezimÌ¯;263;174;174;12;0;0;5;0;17;12;1;2;6;0;0;16;0;0;1;76;0;0;7;1;0;0;0;18;0
530719;Studen˝;82;54;54;8;1;0;3;0;8;7;0;0;0;0;0;2;0;0;0;18;1;0;5;0;0;0;0;1;0
532509;äetÏjovice;48;38;38;3;0;0;4;0;4;1;0;0;0;0;0;1;0;0;1;15;0;0;5;0;0;0;0;4;0
530751;Tehov;249;165;165;3;0;0;21;0;13;15;1;2;0;0;0;11;0;0;8;56;0;0;7;0;1;0;0;26;1
530760;Tepl˝öovice;383;289;288;22;0;0;25;0;41;17;6;2;3;0;0;26;0;1;4;96;0;1;24;0;3;0;0;17;0
530778;Tichonice;179;137;137;16;0;0;14;0;5;9;0;0;5;1;0;10;1;0;5;50;0;0;2;0;0;6;0;13;0
532592;Tisem;184;128;128;8;0;0;15;0;12;7;3;0;1;0;0;12;0;0;6;42;0;0;3;0;0;0;0;19;0
532541;Tomice;105;75;75;4;0;0;4;0;2;8;0;0;2;1;0;2;0;0;0;26;0;0;13;0;0;0;1;12;0
530816;Trhov˝ ätÏp·nov;1029;642;634;62;0;1;42;0;48;40;5;7;6;0;0;59;0;0;25;217;0;2;45;0;6;1;2;66;0
532304;T¯ebeöice;82;68;68;13;0;0;3;0;8;5;1;0;1;0;0;15;0;0;3;14;0;0;2;0;0;0;0;3;0
530841;T˝nec nad S·zavou;4550;2940;2922;295;5;0;175;4;272;265;33;33;36;0;5;307;3;5;104;999;1;8;55;0;9;4;20;272;12
532061;V·clavice;455;290;289;30;0;0;27;0;41;12;0;1;13;0;0;32;0;1;5;85;0;1;10;0;4;1;2;21;3
530867;Veliö;270;189;189;9;0;0;9;0;16;15;0;2;1;0;1;6;0;0;8;71;0;1;23;0;0;2;0;25;0
530883;Vlaöim;9453;5677;5644;504;9;8;534;2;368;465;57;32;61;2;2;525;2;2;216;1862;2;7;309;3;30;12;8;610;12
532614;Vodslivy;84;43;43;5;0;0;3;0;1;0;0;1;2;1;0;4;0;0;2;10;0;0;5;0;0;0;1;8;0
530891;Vojkov;427;250;249;21;1;1;23;1;15;23;2;1;1;0;0;27;0;0;7;90;1;0;14;2;3;0;0;16;0
530905;Votice;3676;2229;2219;208;4;0;196;1;182;167;15;15;34;7;2;231;1;0;90;779;0;4;74;1;10;4;3;187;4
530913;Vracovice;326;201;199;14;1;0;14;0;15;9;0;3;6;0;0;22;0;0;10;67;3;0;22;0;0;1;0;12;0
530921;Vranov;332;244;244;29;0;0;11;0;26;21;2;1;3;1;1;28;0;1;14;80;1;0;14;0;0;0;0;11;0
530948;Vrchotovy Janovice;785;492;488;24;1;0;39;0;49;38;7;6;3;1;1;54;0;0;19;174;0;2;12;0;3;1;1;52;1
532266;Vöechlapy;84;65;64;17;0;0;4;0;6;5;0;0;0;0;0;7;0;0;7;11;0;0;1;0;0;0;0;6;0
513482;Vysok˝ ⁄jezd;163;113;113;20;0;0;11;0;1;12;3;5;4;1;0;3;0;0;8;30;0;0;2;0;8;0;1;4;0
571415;Xaverov;49;36;36;3;0;0;6;0;10;4;0;0;0;0;0;5;0;0;0;3;0;0;4;0;0;0;0;1;0
531022;Zdislavice;462;320;318;18;1;0;23;0;25;34;2;1;7;0;0;24;0;0;10;120;0;0;24;0;6;0;1;22;0
531049;ZvÏstov;303;178;178;20;0;0;16;0;21;6;1;2;4;0;0;10;0;0;6;65;0;0;10;0;1;0;0;15;1
